endcap	station	ring	chamber	new anode_bx_offset
1	4	2	6	803.863
1	4	2	7	811.594
1	4	2	8	812.133
1	4	2	9	809.974
2	1	1	10	796.475
2	1	1	11	812.947
2	1	1	12	803.972
2	1	1	13	805.104
2	1	1	14	810.223
2	1	1	15	811.6
2	1	1	16	810.749
2	1	1	17	810.981
2	1	1	18	802.219
2	1	1	19	801.768
2	1	1	2	810.237
2	1	1	20	804.687
2	1	1	21	802.928
2	1	1	22	803.825
2	1	1	23	810.717
2	1	1	24	795.803
2	1	1	25	813.868
2	1	1	26	801.197
2	1	1	27	806.835
2	1	1	28	806.903
2	1	1	29	809.81
2	1	1	3	802.717
2	1	1	30	804.648
2	1	1	31	810.715
2	1	1	32	805.946
2	1	1	33	806.106
2	1	1	34	817.646
2	1	1	35	810.423
2	1	1	36	805.402
2	1	1	4	813.084
2	1	1	5	808.986
2	1	1	6	804.853
2	1	1	7	803.856
2	1	1	8	809.309
2	1	1	9	804.757
2	1	2	1	803.929
2	1	2	10	803.768
2	1	2	11	805.259
2	1	2	12	797.017
2	1	2	13	796.063
2	1	2	14	793.362
2	1	2	15	797.285
2	1	2	16	793.687
2	1	2	17	806.868
2	1	2	18	793.653
2	1	2	19	804.402
2	1	2	2	805.007
2	1	2	20	795.85
2	1	2	21	813.782
2	1	2	22	786.292
2	1	2	23	801.183
2	1	2	24	796.754
2	1	2	25	803.709
2	1	2	26	804.457
2	1	2	27	794.957
2	1	2	28	807.495
2	1	2	29	808.423
2	1	2	3	807.457
2	1	2	30	811.301
2	1	2	31	802.99
2	1	2	32	805.884
2	1	2	33	805.266
2	1	2	34	802.657
2	1	2	35	799.689
2	1	2	36	798.909
2	1	2	4	865.934
2	1	2	5	809.725
2	1	2	6	798.281
2	1	2	7	815.338
2	1	2	8	805.845
2	1	2	9	801.981
2	1	3	1	808.035
2	1	3	10	800.296
2	1	3	11	806.942
2	1	3	12	809.243
2	1	3	13	804.721
2	1	3	14	804.387
2	1	3	15	804.544
2	1	3	16	803.905
2	1	3	17	800.584
2	1	3	18	807.438
2	1	3	19	809.639
2	1	3	2	803.57
2	1	3	20	804.901
2	1	3	21	805.468
2	1	3	22	812.383
2	1	3	23	812.791
2	1	3	24	811.658
2	1	3	25	799.631
2	1	3	26	801.197
2	1	3	27	799.501
2	1	3	28	808.999
2	1	3	29	806.763
2	1	3	3	809.994
2	1	3	30	808.799
2	1	3	31	813.797
2	1	3	32	809.362
2	1	3	33	798.107
2	1	3	34	802.816
2	1	3	35	811.628
2	1	3	36	804.316
2	1	3	4	806.492
2	1	3	5	814.838
2	1	3	6	808.361
2	1	3	7	803.12
2	1	3	8	813.551
2	1	3	9	805.565
2	2	1	1	808.977
2	2	1	10	808.173
2	2	1	11	806.99
2	2	1	12	811.393
2	2	1	13	807.624
2	2	1	14	806.527
2	2	1	15	805.777
2	2	1	16	810.702
2	2	1	17	809.768
2	2	1	18	813.057
2	2	1	2	809.502
2	2	1	3	808.074
2	2	1	4	802.214
2	2	1	5	804.996
2	2	1	6	807.918
2	2	1	7	808.202
2	2	1	8	810.106
2	2	1	9	803.955
2	2	2	1	814.652
2	2	2	10	807.48
2	2	2	11	809.525
2	2	2	12	801.041
2	2	2	13	802.516
2	2	2	14	802.266
2	2	2	15	809.829
2	2	2	16	807.236
2	2	2	17	805.781
2	2	2	18	799.856
2	2	2	19	798.673
2	2	2	2	805.192
2	2	2	20	803.164
2	2	2	21	807.564
2	2	2	22	802.316
2	2	2	23	808.778
2	2	2	24	805.31
2	2	2	25	814.037
2	2	2	26	813.532
2	2	2	27	793.381
2	2	2	28	810.915
2	2	2	29	811.589
2	2	2	3	812.124
2	2	2	30	809.658
2	2	2	31	805.083
2	2	2	32	802.931
2	2	2	33	803.89
2	2	2	34	808.419
2	2	2	35	797.261
2	2	2	36	800.905
2	2	2	4	792.034
2	2	2	5	806.687
2	2	2	6	809.79
2	2	2	7	810.54
2	2	2	8	811.402
2	2	2	9	802.577
2	3	1	1	810.375
2	3	1	10	808.884
2	3	1	11	812.394
2	3	1	12	812.669
2	3	1	13	814.177
2	3	1	14	810.982
2	3	1	15	809.335
2	3	1	16	806.853
2	3	1	17	808.96
2	3	1	18	810.614
2	3	1	2	805.246
2	3	1	3	813.484
2	3	1	4	811.375
2	3	1	5	812.327
2	3	1	6	811.785
2	3	1	7	810.239
2	3	1	8	799.089
2	3	1	9	803.899
2	3	2	1	810.817
2	3	2	10	809.229
2	3	2	11	808.088
2	3	2	12	808.314
2	3	2	13	805.038
2	3	2	14	795.581
2	3	2	15	801.702
2	3	2	16	798.094
2	3	2	17	801.814
2	3	2	18	807.719
2	3	2	19	804.186
2	3	2	2	800.185
2	3	2	20	807.739
2	3	2	21	807.873
2	3	2	22	796.827
