endcap	station	ring	chamber	corr
2	1	1	25	-236.753
2	1	1	26	-235.577
2	1	1	27	-238.987
2	1	1	28	-236.795
2	1	1	29	-238.018
2	1	1	31	-237.717
2	1	1	33	-238.427
2	1	1	35	-238.964
2	1	1	36	-234.923
2	1	1	4	-235.966
2	1	1	5	-238.694
2	1	1	6	-234.636
2	1	1	7	-236.605
2	1	1	8	-234.78
2	1	1	9	-239.22
2	1	2	1	-216.611
2	1	2	10	-218.615
2	1	2	11	-220.01
2	1	2	12	-218.988
2	1	2	13	-217.755
2	1	2	14	-217.919
2	1	2	15	-219.563
2	1	2	16	-219.549
2	1	2	17	-218.896
2	1	2	18	-216.195
2	1	2	19	-216.627
2	1	2	2	-215.351
2	1	2	20	-216.404
2	1	2	21	-214.514
2	1	2	22	-215.443
2	1	2	23	-215.694
2	1	2	24	-216.937
2	1	2	25	-216.928
2	1	2	26	-216.319
2	1	2	27	-218.021
2	1	2	28	-217.938
2	1	2	29	-218.461
2	1	2	3	-217.126
2	1	2	30	-216.369
2	1	2	31	-218.315
2	1	2	32	-217.922
2	1	2	33	-217.886
2	1	2	34	-218.446
2	1	2	35	-218.219
2	1	2	36	-216.869
2	1	2	4	-216.514
2	1	2	5	-217.792
2	1	2	6	-216.406
2	1	2	7	-217.201
2	1	2	8	-216.386
2	1	2	9	-218.619
2	1	3	1	-216.354
2	1	3	10	-218.038
2	1	3	11	-218.808
2	1	3	12	-220.998
2	1	3	13	-220.302
2	1	3	14	-219.825
2	1	3	15	-223.061
2	1	3	16	-221.359
2	1	3	17	-220.028
2	1	3	18	-219.423
2	1	3	19	-219.883
2	1	3	2	-217.611
2	1	3	20	-221.561
2	1	3	21	-216.423
2	1	3	22	-216.823
2	1	3	23	-216.907
2	1	3	24	-219.432
2	1	3	25	-217.296
2	1	3	26	-216.641
2	1	3	27	-221.086
2	1	3	28	-219.851
2	1	3	29	-220.899
2	1	3	3	-213.166
2	1	3	30	-219.711
2	1	3	31	-219.159
2	1	3	32	-221.195
2	1	3	33	-220.923
2	1	3	34	-219.406
2	1	3	35	-219.249
2	1	3	36	-218.447
2	1	3	4	-220.822
2	1	3	5	-218.995
2	1	3	6	-216.855
2	1	3	7	-219.078
2	1	3	8	-218.764
