endcap	station	ring	chamber	corr
1	4	2	12	-213.267
1	4	2	13	-215.27
1	4	2	14	-219.969
1	4	2	15	-219.297
1	4	2	16	-218.85
1	4	2	17	-218.022
1	4	2	18	-219.249
1	4	2	19	-218.247
1	4	2	20	-221.081
1	4	2	21	-219.92
1	4	2	22	-220.348
1	4	2	23	-219.021
1	4	2	24	-219.467
1	4	2	25	-220.036
1	4	2	26	-220.276
1	4	2	27	-219.722
1	4	2	28	-217.854
1	4	2	29	-221.439
1	4	2	30	-220.613
1	4	2	31	-219.292
1	4	2	32	-221.14
1	4	2	33	-219.64
1	4	2	34	-218.572
1	4	2	35	-220.881
1	4	2	36	-219.999
2	1	1	1	-235.507
2	1	1	2	-234.827
2	1	1	3	-236.202
2	1	1	4	-235.902
2	1	1	5	-237.741
2	1	1	6	-233.674
2	1	1	7	-235.77
2	1	1	8	-234.34
2	1	1	9	-239.357
2	1	1	10	-235.886
2	1	1	11	-237.649
2	1	1	12	-237.082
2	1	1	13	-237.726
2	1	1	14	-236.428
2	1	1	15	-238.151
2	1	1	16	-237.942
2	1	1	17	-240.576
2	1	1	18	-234.75
2	1	1	19	-235.337
2	1	1	20	-235.159
2	1	1	21	-234.649
2	1	1	22	-234.085
2	1	1	23	-234.701
2	1	1	24	-236.741
2	1	1	25	-235.532
2	1	1	26	-235.249
2	1	1	27	-238.005
2	1	1	28	-236.582
2	1	1	29	-237.31
2	1	1	30	-234.689
2	1	1	31	-235.635
2	1	1	32	-235.502
2	1	1	33	-237.553
2	1	1	36	-234.343
2	1	2	1	-215.155
2	1	2	2	-214.337
2	1	2	3	-216.161
2	1	2	4	-216.279
2	1	2	5	-216.609
2	1	2	6	-215.029
2	1	2	7	-215.631
2	1	2	8	-215.708
2	1	2	9	-217.816
2	1	2	10	-217.886
2	1	2	11	-218.546
2	1	2	12	-217.545
2	1	2	13	-216.862
2	1	2	14	-216.837
2	1	2	15	-218.097
2	1	2	16	-217.792
2	1	2	17	-217.663
2	1	2	18	-214.988
2	1	2	19	-215.151
2	1	2	20	-215.044
2	1	2	21	-213.108
2	1	2	22	-212.423
2	1	2	23	-214.467
2	1	2	24	-215.48
2	1	2	25	-215.324
2	1	2	26	-215.204
2	1	2	27	-216.723
2	1	2	28	-216.884
2	1	2	29	-217.263
2	1	2	30	-214.276
2	1	2	31	-216.181
2	1	2	32	-216.057
2	1	2	33	-216.246
2	1	2	34	-215.31
2	1	2	35	-216.992
2	1	2	36	-215.331
2	1	3	1	-216.588
2	1	3	2	-215.844
2	1	3	3	-219.751
2	1	3	4	-221.098
2	1	3	5	-217.702
2	1	3	6	-216.109
2	1	3	7	-216.981
2	1	3	8	-216.318
2	1	3	9	-218.883
2	1	3	10	-217.493
2	1	3	11	-218.658
2	1	3	12	-219.101
2	1	3	13	-219.004
2	1	3	14	-218.151
2	1	3	15	-220.318
2	1	3	16	-219.705
2	1	3	17	-218.35
2	1	3	18	-216.248
2	1	3	19	-217.229
2	1	3	20	-217.701
2	1	3	21	-216.039
2	1	3	22	-214.997
2	1	3	23	-215.544
2	1	3	24	-216.89
2	1	3	25	-215.817
2	1	3	26	-215.315
2	1	3	27	-218.183
2	1	3	28	-218.141
2	1	3	29	-218.642
2	1	3	30	-217.038
2	1	3	31	-216.294
2	1	3	32	-217.626
2	1	3	33	-218.035
2	1	3	34	-218.221
2	1	3	35	-218.442
2	1	3	36	-216.541
2	2	1	1	-215.438
2	2	1	2	-213.133
2	2	1	4	-216.759
2	2	1	5	-212.661
2	2	1	6	-212.467
2	2	1	7	-212.591
2	2	1	8	-215.514
2	2	1	9	-214.472
2	2	1	10	-215.538
2	2	1	11	-215.813
2	2	1	12	-215.449
2	2	1	13	-214.433
2	2	1	14	-218.274
2	2	1	15	-217.833
2	2	1	16	-212.496
2	2	1	17	-214.51
2	2	1	18	-215.468
2	2	2	1	-214.574
2	2	2	2	-215.635
2	2	2	3	-215.588
2	2	2	4	-216.077
2	2	2	5	-215.396
2	2	2	6	-217.394
2	2	2	7	-216.186
2	2	2	8	-216.583
2	2	2	9	-212.29
2	2	2	10	-213.075
2	2	2	11	-211.322
2	2	2	12	-213.623
2	2	2	13	-212.989
2	2	2	14	-213.47
2	2	2	15	-215.227
2	2	2	16	-216.302
2	2	2	17	-221.116
2	2	2	18	-216.555
2	2	2	19	-214.945
2	2	2	20	-214.409
2	2	2	21	-215.939
2	2	2	22	-215.969
2	2	2	23	-214.753
2	2	2	24	-215.713
2	2	2	25	-215.602
2	2	2	26	-214.902
2	2	2	27	-216.652
2	2	2	28	-216.771
2	2	2	29	-216.293
2	2	2	30	-217.189
2	2	2	31	-216.974
2	2	2	32	-216.226
2	2	2	33	-215.68
2	2	2	34	-216.562
2	2	2	35	-215.873
2	2	2	36	-216.111
2	3	1	1	-215.89
2	3	1	2	-215.917
2	3	1	3	-215.286
2	3	1	4	-214.767
2	3	1	5	-218.093
2	3	1	6	-217.294
2	3	1	7	-217.133
2	3	1	8	-214.052
2	3	1	9	-212.19
