1	1	1	1	822
1	1	1	2	822
1	1	1	3	822
1	1	1	4	822
1	1	1	5	822
1	1	1	6	822
1	1	1	7	822
1	1	1	8	822
1	1	1	9	822
1	1	1	10	822
1	1	1	11	822
1	1	1	12	822
1	1	1	13	822
1	1	1	14	822
1	1	1	15	822
1	1	1	16	822
1	1	1	17	822
1	1	1	18	822
1	1	1	19	822
1	1	1	20	822
1	1	1	21	822
1	1	1	22	822
1	1	1	23	822
1	1	1	24	822
1	1	1	25	822
1	1	1	26	822
1	1	1	27	822
1	1	1	28	822
1	1	1	29	822
1	1	1	30	822
1	1	1	31	822
1	1	1	32	822
1	1	1	33	822
1	1	1	34	822
1	1	1	35	822
1	1	1	36	822
1	1	2	1	820
1	1	2	2	820
1	1	2	3	820
1	1	2	4	820
1	1	2	5	820
1	1	2	6	820
1	1	2	7	820
1	1	2	8	820
1	1	2	9	820
1	1	2	11	820
1	1	2	12	820
1	1	2	13	820
1	1	2	14	820
1	1	2	15	820
1	1	2	16	820
1	1	2	17	820
1	1	2	18	820
1	1	2	19	820
1	1	2	20	820
1	1	2	21	820
1	1	2	22	820
1	1	2	23	820
1	1	2	24	820
1	1	2	25	820
1	1	2	26	820
1	1	2	27	820
1	1	2	28	820
1	1	2	29	820
1	1	2	30	820
1	1	2	31	820
1	1	2	32	820
1	1	2	33	820
1	1	2	34	820
1	1	2	35	820
1	1	2	36	820
1	1	3	1	820
1	1	3	2	820
1	1	3	3	820
1	1	3	4	820
1	1	3	5	820
1	1	3	6	820
1	1	3	7	820
1	1	3	8	820
1	1	3	9	820
1	1	3	10	820
1	1	3	11	820
1	1	3	12	820
1	1	3	13	820
1	1	3	14	820
1	1	3	15	820
1	1	3	16	820
1	1	3	17	820
1	1	3	18	820
1	1	3	19	820
1	1	3	20	820
1	1	3	21	820
1	1	3	22	820
1	1	3	23	820
1	1	3	24	820
1	1	3	25	820
1	1	3	26	820
1	1	3	27	820
1	1	3	28	820
1	1	3	29	820
1	1	3	30	820
1	1	3	31	820
1	1	3	32	820
1	1	3	33	820
1	1	3	34	820
1	1	3	35	820
1	1	3	36	820
1	2	1	1	815
1	2	1	2	815
1	2	1	3	815
1	2	1	4	815
1	2	1	5	815
1	2	1	6	815
1	2	1	7	815
1	2	1	8	815
1	2	1	9	815
1	2	1	10	815
1	2	1	11	815
1	2	1	12	815
1	2	1	13	815
1	2	1	14	815
1	2	1	15	815
1	2	1	16	815
1	2	1	17	815
1	2	1	18	815
1	2	2	1	820
1	2	2	2	820
1	2	2	3	820
1	2	2	4	820
1	2	2	5	820
1	2	2	6	820
1	2	2	7	820
1	2	2	8	820
1	2	2	9	820
1	2	2	10	820
1	2	2	11	820
1	2	2	12	820
1	2	2	13	820
1	2	2	14	820
1	2	2	15	820
1	2	2	16	820
1	2	2	17	820
1	2	2	18	820
1	2	2	19	820
1	2	2	20	820
1	2	2	21	820
1	2	2	22	820
1	2	2	23	820
1	2	2	24	820
1	2	2	25	820
1	2	2	26	820
1	2	2	27	820
1	2	2	28	820
1	2	2	29	820
1	2	2	30	820
1	2	2	32	820
1	2	2	33	820
1	2	2	34	820
1	2	2	35	820
1	2	2	36	820
1	3	1	1	815
1	3	1	2	815
1	3	1	3	815
1	3	1	4	815
1	3	1	5	815
1	3	1	6	815
1	3	1	7	815
1	3	1	8	815
1	3	1	9	815
1	3	1	10	815
1	3	1	11	815
1	3	1	12	815
1	3	1	13	815
1	3	1	14	815
1	3	1	15	815
1	3	1	16	815
1	3	1	17	815
1	3	1	18	815
1	3	2	1	820
1	3	2	2	820
1	3	2	3	820
1	3	2	4	820
1	3	2	5	820
1	3	2	6	820
1	3	2	7	820
1	3	2	8	820
1	3	2	9	820
1	3	2	10	820
1	3	2	11	820
1	3	2	12	820
1	3	2	13	820
1	3	2	14	820
1	3	2	15	820
1	3	2	16	820
1	3	2	17	820
1	3	2	18	820
1	3	2	19	820
1	3	2	20	820
1	3	2	21	820
1	3	2	22	820
1	3	2	23	820
1	3	2	24	820
1	3	2	25	820
1	3	2	26	820
1	3	2	27	820
1	3	2	28	820
1	3	2	29	820
1	3	2	30	820
1	3	2	31	820
1	3	2	32	820
1	3	2	33	820
1	3	2	34	820
1	3	2	35	820
1	3	2	36	820
1	4	1	1	815
1	4	1	2	815
1	4	1	3	815
1	4	1	4	815
1	4	1	5	815
1	4	1	6	815
1	4	1	7	815
1	4	1	8	815
1	4	1	9	815
1	4	1	10	815
1	4	1	11	815
1	4	1	12	815
1	4	1	13	815
1	4	1	14	815
1	4	1	15	815
1	4	1	16	815
1	4	1	17	815
1	4	1	18	815
1	4	2	1	820
1	4	2	2	820
1	4	2	3	820
1	4	2	4	820
1	4	2	5	820
1	4	2	6	820
1	4	2	7	820
1	4	2	8	820
1	4	2	9	820
1	4	2	10	820
1	4	2	11	820
1	4	2	12	820
1	4	2	13	820
1	4	2	14	820
1	4	2	15	820
1	4	2	16	820
1	4	2	17	820
1	4	2	18	820
1	4	2	19	820
1	4	2	20	820
1	4	2	21	820
1	4	2	22	820
1	4	2	23	820
1	4	2	24	820
1	4	2	25	820
1	4	2	26	820
1	4	2	27	820
1	4	2	28	820
1	4	2	29	820
1	4	2	30	820
1	4	2	31	820
1	4	2	32	820
1	4	2	33	820
1	4	2	34	820
1	4	2	35	820
1	4	2	36	820
2	1	1	1	822
2	1	1	2	822
2	1	1	3	822
2	1	1	4	822
2	1	1	5	822
2	1	1	6	822
2	1	1	7	822
2	1	1	8	822
2	1	1	9	822
2	1	1	10	822
2	1	1	11	822
2	1	1	13	822
2	1	1	14	822
2	1	1	15	822
2	1	1	16	822
2	1	1	17	822
2	1	1	18	822
2	1	1	19	822
2	1	1	20	822
2	1	1	21	822
2	1	1	22	822
2	1	1	23	822
2	1	1	24	822
2	1	1	25	822
2	1	1	26	822
2	1	1	27	822
2	1	1	28	822
2	1	1	29	822
2	1	1	30	822
2	1	1	31	822
2	1	1	32	822
2	1	1	33	822
2	1	1	34	822
2	1	1	35	822
2	1	1	36	822
2	1	2	1	820
2	1	2	2	820
2	1	2	3	820
2	1	2	4	820
2	1	2	5	820
2	1	2	6	820
2	1	2	7	820
2	1	2	8	820
2	1	2	9	820
2	1	2	10	820
2	1	2	11	820
2	1	2	12	820
2	1	2	13	820
2	1	2	14	820
2	1	2	15	820
2	1	2	16	820
2	1	2	17	820
2	1	2	18	820
2	1	2	19	820
2	1	2	20	820
2	1	2	21	820
2	1	2	22	820
2	1	2	23	820
2	1	2	24	820
2	1	2	25	820
2	1	2	26	820
2	1	2	27	820
2      	1	2	28	820
2	1	2	29	820
2	1	2	30	820
2	1	2	31	820
2	1	2	32	820
2	1	2	33	820
2	1	2	34	820
2	1	2	35	820
2	1	2	36	820
2	1	3	1	820
2	1	3	2	820
2	1	3	3	820
2	1	3	4	820
2	1	3	5	820
2	1	3	6	820
2	1	3	7	820
2	1	3	8	820
2	1	3	9	820
2	1	3	10	820
2	1	3	11	820
2	1	3	12	820
2	1	3	13	820
2	1	3	14	820
2	1	3	15	820
2	1	3	16	820
2	1	3	17	820
2	1	3	18	820
2	1	3	19	820
2	1	3	20	820
2	1	3	21	820
2	1	3	22	820
2	1	3	23	820
2	1	3	24	820
2	1	3	25	820
2	1	3	26	820
2	1	3	27	820
2	1	3	28	820
2	1	3	29	820
2	1	3	30	820
2	1	3	31	820
2	1	3	32	820
2	1	3	33	820
2	1	3	34	820
2	1	3	35	820
2	1	3	36	820
2	2	1	1	815
2	2	1	2	815
2	2	1	3	815
2	2	1	4	815
2	2	1	5	815
2	2	1	6	815
2	2	1	7	815
2	2	1	8	815
2	2	1	9	815
2	2	1	10	815
2	2	1	11	815
2	2	1	12	815
2	2	1	13	815
2	2	1	14	815
2	2	1	15	815
2	2	1	16	815
2	2	1	17	815
2	2	1	18	815
2	2	2	1	820
2	2	2	2	820
2	2	2	3	820
2	2	2	4	820
2	2	2	5	820
2	2	2	6	820
2	2	2	7	820
2	2	2	8	820
2	2	2	9	820
2	2	2	10	820
2	2	2	11	820
2	2	2	12	820
2	2	2	13	820
2	2	2	14	820
2	2	2	15	820
2	2	2	16	820
2	2	2	17	820
2	2	2	18	820
2	2	2	19	820
2	2	2	20	820
2	2	2	21	820
2	2	2	22	820
2	2	2	23	820
2	2	2	24	820
2	2	2	25	820
2	2	2	26	820
2	2	2	27	820
2	2	2	28	820
2	2	2	29	820
2	2	2	30	820
2	2	2	31	820
2	2	2	32	820
2	2	2	33	820
2	2	2	34	820
2	2	2	35	820
2	2	2	36	820
2	3	1	1	815
2	3	1	2	815
2	3	1	3	815
2	3	1	4	815
2	3	1	5	815
2	3	1	6	815
2	3	1	7	815
2	3	1	8	815
2	3	1	9	815
2	3	1	10	815
2	3	1	11	815
2	3	1	12	815
2	3	1	13	815
2	3	1	14	815
2	3	1	15	815
2	3	1	16	815
2	3	1	17	815
2	3	1	18	815
2	3	2	1	820
2	3	2	2	820
2	3	2	3	820
2	3	2	4	820
2	3	2	5	820
2	3	2	6	820
2	3	2	7	820
2	3	2	8	820
2	3	2	9	820
2	3	2	10	820
2	3	2	11	820
2	3	2	12	820
2	3	2	13	820
2	3	2	14	820
2	3	2	15	820
2	3	2	16	820
2	3	2	17	820
2	3	2	18	820
2	3	2	19	820
2	3	2	20	820
2	3	2	21	820
2	3	2	22	820
2	3	2	23	820
2	3	2	24	820
2	3	2	25	820
2	3	2	26	820
2	3	2	27	820
2	3	2	28	820
2	3	2	29	820
2	3	2	30	820
2	3	2	31	820
2	3	2	32	820
2	3	2	33	820
2	3	2	34	820
2	3	2	35	820
2	3	2	36	820
2	4	1	1	815
2	4	1	2	815
2	4	1	3	815
2	4	1	4	815
2	4	1	5	815
2	4	1	6	815
2	4	1	7	815
2	4	1	8	815
2	4	1	9	815
2	4	1	10	815
2	4	1	11	815
2	4	1	12	815
2	4	1	13	815
2	4	1	14	815
2	4	1	15	815
2	4	1	16	815
2	4	1	17	815
2	4	1	18	815
2	4	2	1	820
2	4	2	2	820
2	4	2	3	820
2       4       2       4       820
2	4	2	5	820
2	4	2	6	820
2	4	2	7	820
2	4	2	8	820
2	4	2	9	820
2	4	2	10	820
2	4	2	11	820
2	4	2	12	820
2	4	2	13	820
2	4	2	14	820
2	4	2	15	820
2	4	2	16	820
2	4	2	17	820
2	4	2	18	820
2	4	2	19	820
2	4	2	20	820
2	4	2	21	820
2	4	2	22	820
2	4	2	23	820
2	4	2	24	820
2	4	2	25	820
2	4	2	26	820
2	4	2	27	820
2	4	2	28	820
2	4	2	29	820
2	4	2	30	820
2	4	2	31	820
2	4	2	32	820
2	4	2	33	820
2	4	2	34	820
2	4	2	35	820
2	4	2	36	820
