1 1458 D 1200 D 7583 833 -23613 0
2 1508 D 1250 D 7843 830 -23229 0
3 1458 D 1200 D 7583 838 -23601 0
4 1408 D 1400 D 7323 831 -23081 0
5 1358 D 1100 D 7063 840 -23576 0
6 1408 D 1250 D 7323 834 -23560 0
7 1358 D 1300 D 7063 836 -23723 0
8 1408 D 1250 D 7323 834 -23660 0
9 1458 D 1400 D 7583 833 -23187 0
10 1508 D 1450 D 7843 826 -23104 0
11 1458 D 1400 D 7583 835 -23181 0
12 1408 D 1250 D 7323 844 -23566 0
13 1258 D 1100 D 6543 835 -23660 0
14 1308 D 1150 D 6803 828 -23496 0
15 1558 D 1400 D 8103 831 -23621 0
16 1508 D 1350 D 7843 832 -23467 0
17 1458 D 1300 D 7583 832 -23533 0
18 1508 D 1350 D 7843 831 -23500 0
19 1458 D 1300 D 7583 832 -23538 0
20 1508 D 1350 D 7843 835 -23486 0
21 1458 D 1300 D 7583 832 -23306 0
22 1408 D 1250 D 7323 823 -23247 0
23 1358 D 1200 D 7063 831 -23396 0
24 1308 D 1250 D 6803 832 -22895 0
25 1258 D 1200 D 6543 841 -23461 0
26 1258 D 1250 D 6543 839 -23704 0
27 1458 D 1200 D 7583 836 -24263 0
28 1408 D 1250 D 7323 835 -23656 0
29 1358 D 1100 D 7063 832 -24183 0
30 1308 D 1250 D 6803 835 -23518 0
31 1258 D 1200 D 6543 825 -23558 0
32 1308 D 1250 D 6803 829 -23400 0
33 1558 D 1300 D 8103 830 -23443 0
34 1508 D 1250 D 7843 833 -23489 0
35 1458 D 1200 D 7583 834 -23436 0
36 1508 D 1250 D 7843 833 -23448 0
37 1100 D 1100 D 5720 822 -21513 0
38 900 D 900 D 4680 826 -21533 1
39 1350 D 1100 D 7020 827 -21549 0
40 1100 D 1000 D 5720 824 -21630 0
41 1100 D 900 D 5720 829 -21409 0
42 1100 D 800 D 5720 826 -21752 0
43 1000 D 800 D 5200 827 -21742 1
44 900 N 1000 D 4230 821 -21796 1
45 1350 D 1350 D 7020 825 -21284 0
46 1350 D 1350 D 7020 840 -21340 0
47 1200 D 1200 D 6240 827 -21198 0
48 1000 D 1000 D 5200 824 -21678 1
49 900 D 900 D 4680 822 -21592 1
50 800 D 700 N 4160 823 -21720 1
51 1350 D 1350 D 7020 824 -21081 0
52 1200 D 1200 D 6240 825 -21570 0
53 1200 D 1100 D 6240 828 -21490 0
54 1200 D 1200 D 6240 824 -21484 0
55 1100 D 1100 D 5720 823 -21516 0
56 900 D 900 D 4680 825 -21507 1
57 1350 D 1200 D 7020 827 -21351 0
58 1200 D 1100 D 6240 822 -21351 0
59 1100 D 1100 D 5720 828 -21347 0
60 1200 D 1100 D 6240 824 -21516 0
61 1100 D 1000 D 5720 814 -21517 0
62 900 N 800 D 4230 825 -21534 1
63 1350 D 1350 D 7020 823 -21668 0
64 1350 D 1200 D 7020 826 -21677 0
65 1200 D 1100 D 6240 825 -21647 0
66 1100 D 1100 D 5720 823 -21488 0
67 1100 D 1000 D 5720 826 -21611 0
68 800 D 800 D 4160 825 -21482 1
69 1350 D 1200 D 7020 823 -21491 0
70 1100 D 1100 D 5720 826 -21516 0
71 1100 D 1100 D 5720 821 -21543 0
72 1200 D 1100 D 6240 821 -21191 0
73 700 D 800 D 3640 825 -21427 1
74 700 D 700 D 3640 824 -21491 1
75 1100 D 900 N 5720 827 -21798 0
76 1000 D 800 D 5200 828 -21777 1
77 900 D 700 D 4680 836 -21749 1
78 800 D 700 D 4160 829 -21853 1
79 700 D 700 D 3640 828 -21860 1
80 800 D 800 D 4160 836 -21930 1
81 1200 D 1200 D 6240 834 -21285 0
82 1000 D 1100 D 5200 837 -21353 1
83 900 D 1000 D 4680 823 -21262 1
84 700 D 800 D 3640 829 -21787 1
85 700 D 700 D 3640 835 -21664 1
86 700 D 700 D 3640 833 -21767 1
87 1100 D 1100 D 5720 828 -21707 0
88 1000 N 1000 N 4700 832 -24159 1
89 900 N 900 N 4230 829 -21418 1
90 1000 N 900 N 4700 825 -21390 1
91 800 D 800 N 4160 829 -21639 1
92 700 D 700 D 3640 828 -21658 1
93 1100 D 1000 D 5720 827 -21514 0
94 900 N 900 N 4230 826 -21444 1
95 800 D 800 D 4160 835 -21462 1
96 1000 N 900 N 4700 827 -21745 1
97 800 D 700 D 4160 832 -21664 1
98 700 D 700 D 3640 826 -21622 1
99 1200 D 1100 D 6240 830 -21761 0
100 1000 D 900 D 5200 831 -21797 1
101 900 N 900 N 4230 833 -21771 1
102 900 D 800 D 4680 832 -21492 1
