endcap	station	ring	chamber	new anode_bx_offset
1	1	1	1	798.866
1	1	1	10	819.813
1	1	1	11	807.654
1	1	1	12	797.146
1	1	1	13	813.329
1	1	1	14	814.662
1	1	1	15	818.244
1	1	1	16	812.225
1	1	1	17	811.512
1	1	1	18	815.265
1	1	1	19	809.447
1	1	1	2	812.443
1	1	1	20	810.402
1	1	1	21	813.509
1	1	1	22	821.136
1	1	1	23	813.642
1	1	1	24	813.542
1	1	1	25	803.809
1	1	1	26	805.181
1	1	1	27	809.891
1	1	1	28	807.87
1	1	1	29	815.524
1	1	1	3	811.88
1	1	1	30	808.831
1	1	1	31	821.769
1	1	1	32	813.702
1	1	1	33	816.667
1	1	1	34	808.819
1	1	1	35	809.928
1	1	1	36	813.136
1	1	1	4	808.169
1	1	1	5	807.161
1	1	1	6	803.356
1	1	1	7	805.198
1	1	1	8	812.649
1	1	1	9	810.099
1	1	2	1	822.053
1	1	2	10	805.988
1	1	2	11	812.031
1	1	2	12	814.000
1	1	2	13	818.326
1	1	2	14	810.969
1	1	2	15	811.261
1	1	2	16	816.979
1	1	2	17	815.019
1	1	2	18	815.225
1	1	2	19	814.324
1	1	2	2	819.121
1	1	2	20	813.749
1	1	2	21	814.241
1	1	2	22	816.45
1	1	2	23	809.332
1	1	2	24	819.588
1	1	2	25	829.368
1	1	2	26	813.658
1	1	2	27	810.825
1	1	2	28	816.939
1	1	2	29	818.841
1	1	2	3	803.268
1	1	2	30	820.488
1	1	2	31	812.267
1	1	2	32	820.823
1	1	2	33	811.248
1	1	2	34	815.645
1	1	2	35	823.143
1	1	2	36	816.136
1	1	2	4	815.6
1	1	2	5	813.476
1	1	2	6	814.998
1	1	2	7	811.289
1	1	2	8	818.177
1	1	2	9	811.27
1	1	3	1	812.202
1	1	3	10	808.632
1	1	3	11	820.818
1	1	3	12	803.526
1	1	3	13	795.702
1	1	3	14	818.349
1	1	3	15	808.334
1	1	3	16	803.303
1	1	3	17	811.981
1	1	3	18	824.183
1	1	3	19	806.114
1	1	3	2	808.498
1	1	3	20	812.207
1	1	3	21	807.164
1	1	3	22	813.055
1	1	3	23	801.892
1	1	3	24	809.315
1	1	3	25	805.964
1	1	3	26	822.298
1	1	3	27	809.438
1	1	3	28	811.453
1	1	3	29	809.776
1	1	3	3	816.757
1	1	3	30	813.392
1	1	3	31	818.666
1	1	3	32	817.743
1	1	3	33	791.367
1	1	3	34	804.692
1	1	3	35	812.804
1	1	3	36	807.478
1	1	3	4	807.679
1	1	3	5	807.204
1	1	3	6	815.23
1	1	3	7	801.703
1	1	3	8	802.027
1	1	3	9	810.982
1	2	1	1	816.856
1	2	1	10	808.549
1	2	1	11	811.572
1	2	1	12	812.068
1	2	1	13	808.779
1	2	1	14	811.023
1	2	1	15	809.137
1	2	1	16	804.823
1	2	1	17	2.71487
1	2	1	18	-0.448029
1	2	1	2	800.049
1	2	1	3	805.651
1	2	1	4	805.015
1	2	1	5	811.564
1	2	1	6	811.09
1	2	1	7	806.358
1	2	1	8	810.452
1	2	1	9	808.709
1	2	2	1	791.802
1	2	2	10	812.135
1	2	2	11	806.817
1	2	2	12	797.246
1	2	2	13	801.021
1	2	2	14	803.896
1	2	2	15	805.758
1	2	2	16	807.084
1	2	2	17	807.636
1	2	2	18	806.747
1	2	2	19	828.816
1	2	2	2	806.274
1	2	2	20	814.788
1	2	2	21	793.947
1	2	2	22	806.573
1	2	2	23	799.01
1	2	2	24	802.131
1	2	2	25	801.547
1	2	2	26	802.821
1	2	2	27	810.384
1	2	2	28	800.065
1	2	2	29	805.203
1	2	2	3	803.144
1	2	2	30	803.762
1	2	2	31	795.45
1	2	2	32	799.408
1	2	2	33	802.542
1	2	2	34	820.855
1	2	2	35	812.936
1	2	2	36	798.262
1	2	2	4	815.312
1	2	2	5	810.198
1	2	2	6	805.692
1	2	2	7	805.477
1	2	2	8	802.24
1	2	2	9	800.03
1	3	1	1	812.367
1	3	1	10	805.894
1	3	1	11	811.333
1	3	1	12	813.455
1	3	1	13	805.938
1	3	1	14	803.987
1	3	1	15	804.39
1	3	1	16	811.369
1	3	1	17	811.529
1	3	1	18	814.783
1	3	1	2	808.054
1	3	1	3	807.801
1	3	1	4	805.515
1	3	1	5	814.54
1	3	1	6	799.97
1	3	1	7	811.518
1	3	1	8	811.665
1	3	1	9	802.51
1	3	2	1	802.937
1	3	2	10	801.517
1	3	2	11	814.602
1	3	2	12	804.996
1	3	2	13	809.417
1	3	2	14	804.688
1	3	2	15	798.919
