endcap	station	ring	chamber	new anode_bx_offset
1	3	2	16	808.438
1	3	2	17	813.047
1	3	2	18	806.488
1	3	2	19	812.681
1	3	2	2	813.209
1	3	2	20	802.539
1	3	2	21	801.512
1	3	2	22	819.017
1	3	2	23	804.815
1	3	2	24	808.2
1	3	2	25	809.76
1	3	2	26	812.183
1	3	2	27	805.726
1	3	2	28	809.367
1	3	2	29	805.442
1	3	2	3	805.695
1	3	2	30	801.113
1	3	2	31	809.976
1	3	2	32	801.916
1	3	2	33	802.493
1	3	2	34	802.936
1	3	2	35	805.978
1	3	2	36	796.41
1	3	2	4	808.663
1	3	2	5	801.822
1	3	2	6	798.915
1	3	2	7	797.801
1	3	2	8	804.69
1	3	2	9	804.043
1	4	1	1	806.884
1	4	1	10	807.315
1	4	1	11	816.465
1	4	1	12	803.82
1	4	1	13	804.835
1	4	1	14	795.761
1	4	1	15	797.584
1	4	1	16	799.21
1	4	1	17	816.268
1	4	1	18	813.056
1	4	1	2	796.244
1	4	1	3	811.000
1	4	1	4	804.848
1	4	1	5	811.171
1	4	1	6	805.297
1	4	1	7	811.192
1	4	1	8	806.236
1	4	1	9	803.44
1	4	2	1	796.114
1	4	2	10	806.816
1	4	2	11	803.598
1	4	2	12	805.864
1	4	2	13	799.657
1	4	2	14	797.41
1	4	2	15	802.382
1	4	2	16	771.391
1	4	2	17	801.7
1	4	2	18	808.239
1	4	2	19	786.956
1	4	2	2	797.47
1	4	2	20	807.179
1	4	2	21	801.537
1	4	2	22	806.246
1	4	2	23	796.056
1	4	2	24	810.035
1	4	2	25	799.306
1	4	2	26	798.34
1	4	2	27	796.128
1	4	2	28	806.133
1	4	2	29	800.408
1	4	2	3	792.988
1	4	2	30	803.561
1	4	2	31	805.428
1	4	2	32	775.752
1	4	2	33	802.417
1	4	2	34	802.959
1	4	2	35	800.016
1	4	2	36	798.871
1	4	2	4	779.449
1	4	2	5	806.907
1	4	2	6	793.137
1	4	2	7	803.413
1	4	2	8	803.118
1	4	2	9	803.839
2	1	1	1	8.78974
2	1	1	10	795.882
2	1	1	11	809.69
2	1	1	12	810.483
2	1	1	13	809.89
2	1	1	14	811.011
2	1	1	15	813.379
2	1	1	16	819.945
2	1	1	17	809.635
2	1	1	18	807.184
2	1	1	19	804.526
2	1	1	2	810.241
2	1	1	20	805.981
2	1	1	21	800.282
2	1	1	22	806.955
2	1	1	23	795.033
2	1	1	24	798.731
2	1	1	25	814.73
2	1	1	26	801.74
2	1	1	27	805.621
2	1	1	28	811.587
2	1	1	29	811.857
2	1	1	3	802.439
2	1	1	30	808.662
2	1	1	31	805.262
2	1	1	32	808.99
2	1	1	33	809.929
2	1	1	34	819.306
2	1	1	35	812.907
2	1	1	36	805.106
2	1	1	4	822.73
2	1	1	5	806.942
2	1	1	6	805.89
2	1	1	7	800.704
2	1	1	8	811.253
2	1	1	9	801.154
2	1	2	1	812.58
2	1	2	10	803.126
2	1	2	11	810.547
2	1	2	12	793.601
2	1	2	13	797.27
2	1	2	14	788.03
2	1	2	15	788.277
2	1	2	16	793.105
2	1	2	17	816.422
2	1	2	18	794.266
2	1	2	19	799.946
2	1	2	2	802.559
2	1	2	20	801.314
2	1	2	21	822.975
2	1	2	22	766.901
2	1	2	23	816.554
2	1	2	24	801.428
2	1	2	25	801.037
2	1	2	26	805.725
2	1	2	27	800.965
2	1	2	28	807.123
2	1	2	29	811.135
2	1	2	3	806.809
2	1	2	30	811.41
2	1	2	31	808.163
2	1	2	32	806.475
2	1	2	33	805.221
2	1	2	34	799.624
2	1	2	35	795.802
2	1	2	36	803.27
2	1	2	4	807.182
2	1	2	5	806.439
2	1	2	6	807.828
2	1	2	7	820.588
2	1	2	8	808.293
2	1	2	9	806.69
2	1	3	1	802.753
2	1	3	10	802.949
2	1	3	11	805.65
2	1	3	12	805.839
2	1	3	13	806.503
2	1	3	14	811.094
2	1	3	15	808.257
2	1	3	16	798.324
2	1	3	17	802.027
2	1	3	18	797.476
2	1	3	19	804.172
2	1	3	2	804.489
2	1	3	20	806.605
2	1	3	21	800.984
2	1	3	22	819.371
2	1	3	23	804.317
2	1	3	24	807.118
2	1	3	25	804.27
2	1	3	26	803.752
2	1	3	27	792.115
2	1	3	28	802.488
2	1	3	29	809.725
2	1	3	3	802.973
2	1	3	30	801.528
2	1	3	31	801.272
2	1	3	32	813.666
2	1	3	33	802.172
2	1	3	34	797.437
2	1	3	35	815.456
2	1	3	36	807.126
2	1	3	4	804.674
2	1	3	5	800.538
2	1	3	6	810.301
2	1	3	7	807.62
2	1	3	8	796.871
2	1	3	9	812.98
2	2	1	1	810.421
2	2	1	10	806.112
2	2	1	11	807.647
2	2	1	12	808.25
2	2	1	13	810.73
2	2	1	14	807.21
2	2	1	15	804.201
2	2	1	16	815.36
2	2	1	17	812.403
2	2	1	18	811.637
2	2	1	2	808.091
2	2	1	3	805.595
2	2	1	4	798.038
2	2	1	5	802.833
2	2	1	6	806.23
2	2	1	7	806.664
2	2	1	8	814.004
2	2	1	9	800.933
2	2	2	1	804.844
2	2	2	10	802.271
2	2	2	11	803.6
2	2	2	12	796.19
2	2	2	13	787.287
2	2	2	14	788.647
2	2	2	15	803.348
2	2	2	16	798.88
2	2	2	17	798.306
2	2	2	18	791.565
2	2	2	19	787.808
2	2	2	2	795.054
2	2	2	20	786.663
2	2	2	21	803.329
2	2	2	22	790.494
2	2	2	23	801.803
2	2	2	24	789.892
2	2	2	25	807.871
2	2	2	26	807.882
2	2	2	27	782.91
2	2	2	28	804.977
2	2	2	29	793.75
2	2	2	3	799.683
2	2	2	30	808.373
2	2	2	31	800.945
2	2	2	32	794.142
2	2	2	33	795.856
2	2	2	34	799.501
2	2	2	35	790.712
2	2	2	36	791.225
2	2	2	4	781.241
2	2	2	5	792.96
2	2	2	6	803.006
2	2	2	7	803.984
2	2	2	8	801.864
2	2	2	9	795.819
2	3	1	1	809.704
2	3	1	10	807.243
2	3	1	11	814.304
2	3	1	12	809.443
2	3	1	13	819.425
2	3	1	14	814.073
2	3	1	15	813.756
2	3	1	16	805.876
2	3	1	17	806.065
2	3	1	18	811.811
2	3	1	2	805.564
2	3	1	3	812.762
2	3	1	4	812.578
2	3	1	5	811.892
2	3	1	6	811.996
2	3	1	7	812.397
2	3	1	8	791.425
2	3	1	9	802.582
2	3	2	1	800.375
2	3	2	10	798.254
2	3	2	11	797.765
2	3	2	12	798.332
2	3	2	13	797.571
2	3	2	14	788.587
2	3	2	15	793.378
2	3	2	16	787.835
2	3	2	17	793.616
2	3	2	18	793.487
2	3	2	19	790.239
2	3	2	2	793.622
2	3	2	20	796.297
2	3	2	21	801.155
2	3	2	22	788.421
2	3	2	23	796.121
2	3	2	24	794.842
2	3	2	25	796.15
2	3	2	26	802.031
2	3	2	27	795.499
2	3	2	28	803.946
2	3	2	29	789.138
2	3	2	3	801.151
2	3	2	30	795.903
2	3	2	31	805.38
2	3	2	32	790.968
2	3	2	33	797.923
2	3	2	34	804.803
2	3	2	35	796.557
2	3	2	36	798.747
2	3	2	4	780.631
2	3	2	5	797.153
2	3	2	6	795.713
2	3	2	7	803.052
2	3	2	8	792.226
2	3	2	9	794.019
2	4	1	1	813.178
2	4	1	10	808.172
2	4	1	11	801.804
2	4	1	12	809.391
2	4	1	13	808.061
2	4	1	14	803.835
2	4	1	15	818.232
2	4	1	16	810.938
2	4	1	17	812.67
2	4	1	18	811.385
2	4	1	2	810.062
2	4	1	3	804.44
2	4	1	4	807.19
2	4	1	5	813.568
2	4	1	6	799.808
2	4	1	7	809.343
2	4	1	8	799.474
2	4	1	9	806.653
2	4	2	1	805.083
2	4	2	10	788.82
2	4	2	11	796.39
2	4	2	12	793.651
2	4	2	13	786.23
2	4	2	14	782.68
2	4	2	15	798.962
2	4	2	16	795.541
2	4	2	17	799.33
2	4	2	18	790.781
2	4	2	19	789.643
2	4	2	2	804.978
2	4	2	20	794.844
2	4	2	21	790.479
2	4	2	22	798.37
2	4	2	23	791.093
2	4	2	24	777.829
2	4	2	25	805.622
2	4	2	26	793.136
2	4	2	27	791.602
2	4	2	28	791.475
2	4	2	29	792.832
2	4	2	3	801.938
2	4	2	30	796.706
2	4	2	31	780.403
2	4	2	32	794.85
2	4	2	33	799.902
2	4	2	34	784.174
2	4	2	35	793.757
2	4	2	36	788.045
2	4	2	5	800.79
2	4	2	6	798.672
2	4	2	7	812.05
2	4	2	8	799.628
2	4	2	9	793.232
